names,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
IND.16.5.3_1,10,17,48,33,21,21
IND.16.5.4_1,10,19,48,33,22,23
IND.16.5.5_1,10,17,48,33,21,21
IND.16.5.6_1,10,17,48,33,21,21
IND.16.5.7_1,10,17,48,33,21,21
IND.16.6.1_1,10,17,48,33,23,27
IND.16.6.2_1,10,17,48,33,23,27
IND.16.6.3_1,10,17,48,33,23,27
IND.16.6.4_1,10,17,48,33,23,27
IND.16.6.5_1,10,17,48,33,23,27
IND.16.7.1_1,10,19,48,33,22,23
IND.16.7.2_1,10,19,48,33,22,23
IND.16.7.3_1,10,19,48,33,22,23
IND.16.7.4_1,10,19,48,33,22,23
IND.16.7.5_1,10,19,48,33,22,23
IND.16.8.1_1,5,16,43,30,20,20
IND.16.8.2_1,5,16,43,30,20,20
IND.16.8.3_1,5,16,43,30,20,20
IND.16.8.4_1,5,16,43,30,20,20
IND.16.9.1_1,5,16,42,28,20,20
IND.16.9.2_1,5,16,42,28,20,20
IND.16.9.3_1,5,16,42,28,20,20
IND.16.9.4_1,5,16,42,28,20,21
IND.16.9.5_1,5,16,42,28,20,20
IND.16.9.6_1,5,16,42,28,20,20
IND.17.1.1_1,21,13,38,25,17,18
IND.17.1.2_1,21,13,36,24,17,18
IND.17.1.3_1,21,13,36,24,17,18
IND.17.1.4_1,21,13,38,25,17,18
IND.17.1.5_1,21,13,36,24,17,18
IND.17.1.6_1,21,,,,,
IND.17.1.7_1,21,13,38,25,17,18
IND.17.10.1_1,21,13,38,25,17,18
IND.17.10.2_1,21,13,38,25,17,18
IND.17.10.3_1,21,13,38,25,17,18
IND.17.10.4_1,21,13,38,25,17,18
IND.17.10.5_1,21,13,38,25,17,18
IND.17.11.1_1,21,13,36,24,17,18
IND.17.11.2_1,21,13,36,24,17,18
IND.17.11.3_1,21,13,36,24,17,18
IND.17.11.4_1,21,13,36,24,17,18
IND.17.11.5_1,21,13,36,24,17,18
IND.17.12.1_1,21,13,36,24,17,18
IND.17.12.2_1,21,13,36,24,17,18
IND.17.12.3_1,21,13,36,24,17,18
IND.17.12.4_1,21,13,36,24,17,18
IND.17.13.1_1,21,13,38,25,17,18
IND.17.13.2_1,21,13,38,25,17,18
IND.17.13.3_1,21,13,38,25,17,18
IND.17.13.4_1,21,13,38,25,17,18
IND.17.13.5_1,21,13,38,25,17,18
IND.17.14.1_1,21,13,43,25,17,18
IND.17.14.2_1,21,13,43,25,17,18
IND.17.14.3_1,21,13,43,25,17,18
IND.17.2.1_1,21,13,38,25,17,18
IND.17.2.2_1,21,13,38,25,17,18
IND.17.2.3_1,21,13,38,25,17,18
IND.17.2.4_1,21,13,38,25,17,18
